Date,Open,High,Low,Close,Volume
2025-01-23,138.11,143.16,137.90,143.75,106765600
2025-01-24,143.89,146.71,143.50,146.71,54105100
2025-01-25,147.41,147.92,145.01,146.83,55719400
2025-01-26,147.07,153.44,145.59,153.20,73338200
2025-01-27,147.71,149.05,145.72,145.93,70555800
2025-01-30,144.96,146.83,142.65,143.00,64015300
2025-01-31,142.70,144.34,142.28,144.29,65874500
2025-02-01,143.97,146.61,143.90,145.43,55478800
2025-02-02,148.90,149.72,144.26,150.82,118977300
2025-02-03,153.78,157.38,153.46,154.50,76161100
2025-02-06,153.11,154.56,151.31,151.73,56007100
2025-02-07,154.65,155.23,149.38,154.65,83322600
2025-02-08,153.88,154.58,151.49,151.92,60276900
2025-02-09,150.96,154.56,150.00,150.87,56007200
2025-02-10,151.01,151.54,148.81,151.01,47471800
2025-02-13,150.19,153.25,149.25,153.85,65573900
2025-02-14,153.77,154.34,150.78,153.20,64120100
2025-02-15,153.11,155.48,152.88,155.33,65885400
2025-02-16,153.51,156.33,153.37,153.71,61177400
2025-02-17,152.15,152.55,150.86,152.55,48394200
2025-02-21,150.20,152.34,149.35,148.48,69458500
2025-02-22,148.87,149.99,147.16,148.91,52279300
2025-02-23,150.09,150.34,147.24,149.40,58885400
2025-02-24,147.11,147.19,145.81,146.71,55478700
2025-02-27,147.05,149.08,147.05,147.92,44998500
2025-02-28,147.05,149.08,146.59,147.41,48394100
2025-03-01,146.83,147.23,145.47,145.31,55719300
2025-03-02,144.38,146.71,143.90,145.91,52651500
2025-03-03,148.16,151.07,147.34,151.03,76161000
2025-03-06,153.70,156.39,153.37,153.83,87754600
2025-03-07,153.44,154.01,151.28,151.60,56007000
2025-03-08,152.81,153.40,150.86,152.87,47471700
2025-03-09,150.31,154.57,150.10,150.59,57809600
2025-03-10,148.55,150.35,147.22,148.50,68672700
2025-03-13,147.80,153.14,147.70,150.47,131148600
2025-03-14,151.28,153.40,149.21,152.59,96970100
2025-03-15,152.16,155.49,151.65,152.99,77712400
2025-03-16,152.16,156.46,151.64,155.85,76161100
2025-03-17,156.08,156.74,154.11,155.00,98944000
2025-03-20,155.07,157.82,154.15,157.40,80962600
2025-03-21,157.32,159.30,156.54,159.28,104132700
2025-03-22,159.30,162.14,157.85,157.83,68458400
2025-03-23,158.83,161.55,157.70,158.93,59413500
2025-03-24,158.86,160.34,157.85,160.25,59174600
2025-03-27,159.94,160.77,157.87,158.28,52390500
2025-03-28,157.97,158.49,155.81,157.65,45992200
2025-03-29,159.37,161.05,158.53,160.77,51305400
2025-03-30,161.29,162.47,160.84,162.36,49501700
2025-03-31,162.44,165.00,161.91,164.90,68394400
2025-04-03,166.09,167.87,165.55,166.17,47278900
2025-04-04,166.21,167.87,165.55,167.63,47278900
2025-04-05,167.32,169.30,166.54,168.28,44132700
2025-04-06,168.30,170.14,167.85,169.83,38458400
2025-04-10,169.83,171.55,168.70,169.93,39413500
2025-04-11,169.86,170.34,168.85,170.25,39174600
2025-04-12,169.94,170.77,168.87,169.28,32390500
2025-04-13,168.97,169.49,166.81,168.65,35992200
2025-04-14,169.37,171.05,168.53,170.77,41305400
2025-04-17,171.29,172.47,170.84,172.36,39501700
2025-04-18,172.44,175.00,171.91,174.90,48394400
2025-04-19,174.21,175.90,173.17,174.07,45117500
2025-04-20,174.16,176.07,173.34,175.23,52651500
2025-04-21,175.16,177.07,174.34,176.03,56161000
2025-04-24,176.70,178.39,176.37,177.83,57754600
2025-04-25,177.44,178.01,176.28,177.60,46007000
2025-04-26,177.81,178.40,176.86,177.87,37471700
2025-04-27,177.31,179.57,177.10,178.59,47809600
2025-04-28,178.55,180.35,177.22,179.50,58672700
